PlantCode,GenID,bus,FuelType, Pg, Pmax, Pmin, Qg, Qmax, Qmin,Lat,Lon
34  ,1P,745,Conventional Hydroelectric,4.0333628,12.1,0,0,18.7771429,-14.6707143, 39.134259,    -120.953341 
151,1,1804,Petroleum Liquids,0,71.2,0,0,34.5,-23.7,37.62936, -120.93139  
    151 ,2,1804,Natural Gas Fired Combustion Turbine,0,71.2,0,0,34.5,-23.7,37.62936,  -120.93139  
    161 ,1,1964,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,37.611461,    -120.594678 
161,2,1964,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,37.611461,    -120.594678 
    161 ,3,1964,Conventional Hydroelectric,0.366669117,1.1,0,0,18.7771429,-14.6707143,37.611461,    -120.594678 
    162 ,1,1360,Conventional Hydroelectric,0.166667613,0.5,0,0,18.7771429,-14.6707143,37.621536,    -120.746247 
    162 ,2,1360,Conventional Hydroelectric,0.166667613,0.5,0,0,18.7771429,-14.6707143,37.621536,    -120.746247 
    180 ,1,1745,Conventional Hydroelectric,0.333335524,1,0,0,18.7771429,-14.6707143,40.45193,    -121.86215  
    214 ,1,744,Conventional Hydroelectric,0.333335524,1,0,0,18.7771429,-14.6707143,39.215979,    -120.80355  
    215 ,1,1587,Conventional Hydroelectric,0.466669881,1.4,0,0,18.7771429,-14.6707143,38.071944,    -120.539444 
    219 ,1,8022,Conventional Hydroelectric,39.30029,117.9,0,0,57.1,-39.3,40.007445,    -121.249438 
    220 ,H1,2220,Conventional Hydroelectric,11.0000809,33,0,0,0,0, 39.91062,    -121.327692 
    220 ,H2,2220,Conventional Hydroelectric,11.0000809,33,0,0,0,0, 39.91062,    -121.327692 
    221 ,1,1748,Conventional Hydroelectric,13.3334314,40,0,0,19.4,-13.3,40.175656,    -121.190663 
    222 ,1,8542,Conventional Hydroelectric,7.93339151,23.8,0,0,11.5,-7.9,40.085476,    -121.148241 
    222 ,2,8542,Conventional Hydroelectric,8.33339446,25,0,0,12.1,-8.3,40.085476,    -121.148241 
    222 ,3,8542,Conventional Hydroelectric,8.33339446,25,0,0,12.1,-8.3,40.085476,    -121.148241 
    223 ,4,8542,Conventional Hydroelectric,20.1001481,60.3,0,0,29.2,-20.1,40.085997,    -121.149373 
    223 ,5,8542,Conventional Hydroelectric,19.2001415,57.6,0,0,27.9,-19.2,40.085997,    -121.149373 
    227 ,1,1743,Conventional Hydroelectric,4.0333628,12.1,0,0,18.7771429,-14.6707143,40.404645,    -122.121904 
    229 ,1,1735,Conventional Hydroelectric,0.233334754,0.7,0,0,18.7771429,-14.6707143,40.570817,    -122.02093  
    229 ,2,1735,Conventional Hydroelectric,0.233334754,0.7,0,0,18.7771429,-14.6707143,40.570817,    -122.02093  
    235 ,1,8578,Conventional Hydroelectric,4.00002922,12,0,0,5.95,-4.1,39.256873,    -120.767437 
    235 ,2,8578,Conventional Hydroelectric,4.00002922,12,0,0,5.95,-4.1,39.256873,    -120.767437 
    235 ,3,8578,Conventional Hydroelectric,4.00002922,12,0,0,5.95,-4.1,39.256873,    -120.767437 
    235 ,4,8578,Conventional Hydroelectric,4.40003218,13.2,0,0,5.95,-4.1,39.256873,    -120.767437 
